"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 26.1384615384615 38.4281189220425 20.8778329197684 3.43511035053781 7.57576509511994 2.00234785676193
2 16.1026315789474 15.9755469701583 23.8835493907182 3.38966922865098 9.64326225045372 2.59719524463652
3 20.7394736842105 28.304459962514 28.4597082553364 2.15131505223592 13.3188022095492 1.8762950917602
4 30.2722222222222 39.6989716391539 31.5938952745849 2.40565143874684 16.985632183908 1.8442192982497
5 71.6777777777778 54.113373636738 34.2904719235364 2.95326996541346 20.7356033452808 1.42389774255324
6 75.2421052631579 81.2065954969474 36.6654483430799 2.33683735483569 22.6473684210526 1.18065949858053
7 55.9833333333333 51.175761561784 37.189327648004 2.25453247175555 22.7641360771227 1.13648218432428
8 69.5277777777778 59.8486596632879 37.1529786182178 2.19086809532713 22.7647540477073 1.1083797635893
9 165.402777777778 110.905680612237 33.162281467291 2.18875822815235 21.3617337164751 1.23976344824423
10 57.3351351351351 53.2554859783176 29.4180651173977 1.54322605214575 17.3806782310676 1.30487037573926
11 19.875 23.968138076562 24.9937931034483 2.4271418360704 12.2308109833972 1.95091943370398
12 17.2054054054054 20.8604483006311 21.1775081575971 2.10923883716984 8.0846528482791 2.25444733104455
