"anio" "ppAcc" "mTmax" "mTmin"
1970 -38.0519177580059 18.3530817414026 13.2522950289529
1971 89.7430770768769 21.7749995496226 18.3207881796379
1972 -18.7743676896931 23.2712941824536 12.9331094611709
1973 45.55633310007 25.5832187277046 11.9098292755289
1974 -56.2464593955147 17.1461078933336 13.8451499480069
1975 -2.52924122763171 23.1448625633206 14.8139388645699
1976 61.3682561898097 -4.42815936945841 -0.331917861233073
1977 -14.6589356526375 -7.8030826421584 -18.6655131902251
1978 51.6211803125729 -9.28527442298041 -5.59702003954007
1979 -40.2179346196141 -8.93458949147341 -13.2408556559781
1980 -27.6550368222866 -5.58389707437641 -3.35104354429307
1981 76.0971708487454 -13.5017127791444 -2.80249949159508
1982 -23.7562064713919 3.33390365921158 -6.35044469707408
1983 -34.5862907794328 -6.92000780914643 -28.8588789776132
1984 -51.048018927655 -19.7547185529474 -22.7018541842251
1985 29.5278083241694 4.00787626195058 -4.81345839570407
1986 -14.6589356526375 -11.0338397310584 -13.3638614623941
1987 36.4590622813156 -2.63595935448741 -7.22167757378708
1988 114.478989636442 -0.471575792843417 -4.40797894365007
1989 -42.3839514812223 3.21335571400557 -7.33674606693707
1990 -23.3230030990703 -1.36198675174743 0.567363522103932
1991 -12.0597154187077 -12.0743155188714 6.37558270018593
1992 10.900063314339 -8.72324133667142 -0.12699982844607
1993 44.2567229831051 -10.5811648339394 4.34246513282194
1994 -44.1167649705088 -15.4852744229804 10.6221580426519
1995 -84.1880769102602 -5.81142799183443 -2.28672804242407
1996 -47.7556732980106 -1.93362385033243 -1.58601622188907
1997 5.26841947415776 -11.9099319572274 -4.07647209433406
1998 7.43443633576594 10.0507032979286 7.22158601194293
1999 -56.2464593955147 13.9256844811286 0.937226535801923
2000 -0.363224366023523 6.31774226988558 4.27190727537893
2001 -18.9909693758539 -11.6856424458794 0.102019011778935
2002 50.321570195608 -0.211301820240415 2.32078817963792
2003 35.8092572228332 -8.03321962846042 4.64955530292592
2004 -0.363224366023523 -5.99100089951342 14.1352952535209
2005 55.3034089773068 -7.80643955921441 1.59521238556893
2006 -8.16088506781299 7.74760228934859 2.15640461799392
2008 -25.4890199606785 4.44676812695459 -6.80984624295307
2009 -28.5214435669299 9.64418727873657 9.55713778411393
