"anio" "mes"
1975 5
1975 11
1977 10
1979 5
1979 9
1979 10
1979 11
1979 12
1981 10
1981 11
1981 12
1983 1
1983 2
1983 3
1983 4
1983 5
1983 6
1983 7
1984 3
1984 4
1984 8
1984 9
1984 10
1984 11
1984 12
1990 3
1997 6
1998 7
1998 8
1999 8
2000 4
2000 8
2000 11
2000 12
2004 11
2004 12
2005 1
2005 2
2005 3
2005 4
