"cuenca" "mes" "S" "tau" "var" "pvalue"
"1" 1 1 82 0.105128206312656 7366.66650390625 0.345305681228638
"2" 1 2 16 0.0205128211528063 7366.66650390625 0.861263871192932
"3" 1 3 176 0.225641027092934 7366.66650390625 0.041456937789917
"4" 1 4 172 0.220512822270393 7366.66650390625 0.0463352203369141
"5" 1 5 354 0.453846156597137 7366.66650390625 3.91006469726562e-05
"6" 1 6 322 0.412820518016815 7366.66650390625 0.000184059143066406
"7" 1 7 266 0.341025650501251 7366.66650390625 0.00201833248138428
"8" 1 8 344 0.441025644540787 7366.66650390625 6.43730163574219e-05
"9" 1 9 224 0.287179499864578 7366.66650390625 0.00937187671661377
"10" 1 10 178 0.228205129504204 7366.66650390625 0.0391855239868164
"11" 1 11 164 0.210256412625313 7366.66650390625 0.0575488805770874
"12" 1 12 -6 -0.00769230769947171 7366.66650390625 0.953545391559601
"13" 2 1 169 0.228070169687271 6833.66650390625 0.0421258211135864
"14" 2 2 177 0.238866403698921 6833.66650390625 0.0332502126693726
"15" 2 3 57 0.0769230797886848 6833.66650390625 0.498136520385742
"16" 2 4 123 0.165991902351379 6833.66650390625 0.139992594718933
"17" 2 5 193 0.260458827018738 6833.66650390625 0.0202006101608276
"18" 2 6 241 0.325236171483994 6833.66650390625 0.0036931037902832
"19" 2 7 181 0.244264513254166 6833.66650390625 0.0294479131698608
"20" 2 8 169 0.228070169687271 6833.66650390625 0.0421258211135864
"21" 2 9 85 0.114709854125977 6833.66650390625 0.309563994407654
"22" 2 10 139 0.187584340572357 6833.66650390625 0.0950443744659424
"23" 2 11 47 0.0634277984499931 6833.66650390625 0.577899098396301
"24" 2 12 9 0.0121457492932677 6833.66650390625 0.922905087471008
"25" 3 1 118 0.1512820571661 7366.66650390625 0.172828555107117
"26" 3 2 228 0.292307704687119 7366.66650390625 0.00817430019378662
"27" 3 3 -72 -0.0923076942563057 7366.66650390625 0.408110439777374
"28" 3 4 16 0.0205128211528063 7366.66650390625 0.861263871192932
"29" 3 5 166 0.212820515036583 7366.66650390625 0.0545527935028076
"30" 3 6 188 0.241025641560555 7366.66650390625 0.029350757598877
"31" 3 7 156 0.200000002980232 7366.66650390625 0.0709323883056641
"32" 3 8 206 0.264102578163147 7366.66650390625 0.0169190168380737
"33" 3 9 76 0.097435899078846 7366.66650390625 0.382212162017822
"34" 3 10 142 0.182051286101341 7366.66650390625 0.100425124168396
"35" 3 11 62 0.079487182199955 7366.66650390625 0.477262020111084
"36" 3 12 -6 -0.00769230769947171 7366.66650390625 0.953545391559601
"37" 4 1 204 0.261538475751877 7366.66650390625 0.0180222988128662
"38" 4 2 318 0.407692313194275 7366.66650390625 0.00022125244140625
"39" 4 3 232 0.297435909509659 7366.66650390625 0.00711548328399658
"40" 4 4 232 0.297435909509659 7366.66650390625 0.00711548328399658
"41" 4 5 258 0.330769240856171 7366.66650390625 0.00275063514709473
"42" 4 6 192 0.246153846383095 7366.66650390625 0.0260579586029053
"43" 4 7 266 0.341025650501251 7366.66650390625 0.00201833248138428
"44" 4 8 322 0.412820518016815 7366.66650390625 0.000184059143066406
"45" 4 9 160 0.205128207802773 7366.66650390625 0.0639519691467285
"46" 4 10 114 0.146153852343559 7366.66650390625 0.187983870506287
"47" 4 11 108 0.138461545109749 7366.66650390625 0.212521910667419
"48" 4 12 84 0.107692308723927 7366.66650390625 0.333526134490967
"49" 5 1 -6 -0.00769230769947171 7366.66650390625 0.953545391559601
"50" 5 2 120 0.15384615957737 7366.66650390625 0.165602445602417
"51" 5 3 -4 -0.00512820528820157 7366.66650390625 0.972117125988007
"52" 5 4 66 0.0846153870224953 7366.66650390625 0.448859691619873
"53" 5 5 22 0.0282051283866167 7366.66650390625 0.806710600852966
"54" 5 6 32 0.0410256423056126 7366.66650390625 0.717963337898254
"55" 5 7 170 0.217948719859123 7366.66650390625 0.0489501953125
"56" 5 8 164 0.210256412625313 7366.66650390625 0.0575488805770874
"57" 5 9 44 0.0564102567732334 7366.66650390625 0.616374969482422
"58" 5 10 -88 -0.112820513546467 7366.66650390625 0.310754537582397
"59" 5 11 -18 -0.0230769235640764 7366.66650390625 0.842992186546326
"60" 5 12 -30 -0.0384615398943424 7366.66650390625 0.735453605651855
"61" 6 1 4 0.00512820528820157 7366.66650390625 0.972117185592651
"62" 6 2 172 0.220512822270393 7366.66650390625 0.0463352203369141
"63" 6 3 -12 -0.0153846153989434 7366.66650390625 0.898021280765533
"64" 6 4 80 0.102564103901386 7366.66650390625 0.357347130775452
"65" 6 5 40 0.0512820519506931 7366.66650390625 0.649547815322876
"66" 6 6 120 0.15384615957737 7366.66650390625 0.165602445602417
"67" 6 7 122 0.15641026198864 7366.66650390625 0.158606052398682
"68" 6 8 170 0.217948719859123 7366.66650390625 0.0489501953125
"69" 6 9 114 0.146153852343559 7366.66650390625 0.187983870506287
"70" 6 10 62 0.079487182199955 7366.66650390625 0.477262020111084
"71" 6 11 50 0.0641025677323341 7366.66650390625 0.568066954612732
"72" 6 12 32 0.0410256423056126 7366.66650390625 0.717963337898254
"73" 7 1 140 0.179487183690071 7366.66650390625 0.105341076850891
"74" 7 2 284 0.364102572202682 7366.66650390625 0.000976443290710449
"75" 7 3 64 0.0820512846112251 7366.66650390625 0.462939500808716
"76" 7 4 128 0.16410256922245 7366.66650390625 0.138958215713501
"77" 7 5 134 0.171794876456261 7366.66650390625 0.121240496635437
"78" 7 6 268 0.343589752912521 7366.66650390625 0.00186562538146973
"79" 7 7 324 0.415384620428085 7366.66650390625 0.000167727470397949
"80" 7 8 348 0.446153849363327 7366.66650390625 5.28097152709961e-05
"81" 7 9 234 0.300000011920929 7366.66650390625 0.00663375854492188
"82" 7 10 136 0.174358978867531 7366.66650390625 0.115744352340698
"83" 7 11 128 0.16410256922245 7366.66650390625 0.138958215713501
"84" 7 12 224 0.287179499864578 7366.66650390625 0.00937187671661377
"85" 8 1 154 0.197435900568962 7366.66650390625 0.0746500492095947
"86" 8 2 316 0.405128210783005 7366.66650390625 0.000242471694946289
"87" 8 3 82 0.105128206312656 7366.66650390625 0.345305681228638
"88" 8 4 156 0.200000002980232 7366.66650390625 0.0709323883056641
"89" 8 5 78 0.100000001490116 7366.66650390625 0.369649648666382
"90" 8 6 222 0.284615397453308 7366.66650390625 0.0100275278091431
"91" 8 7 252 0.32307693362236 7366.66650390625 0.00345110893249512
"92" 8 8 232 0.297435909509659 7366.66650390625 0.00711548328399658
"93" 8 9 162 0.207692310214043 7366.66650390625 0.0606805086135864
"94" 8 10 116 0.148717954754829 7366.66650390625 0.180287957191467
"95" 8 11 98 0.125641033053398 7366.66650390625 0.258412837982178
"96" 8 12 230 0.294871807098389 7366.66650390625 0.00762844085693359
"97" 9 1 104 0.133333340287209 7366.66650390625 0.230117321014404
"98" 9 2 242 0.31025642156601 7366.66650390625 0.00498652458190918
"99" 9 3 -8 -0.0102564105764031 7366.66650390625 0.93499881029129
"100" 9 4 42 0.0538461543619633 7366.66650390625 0.632869124412537
"101" 9 5 42 0.0538461543619633 7366.66650390625 0.632869124412537
"102" 9 6 268 0.343589752912521 7366.66650390625 0.00186562538146973
"103" 9 7 280 0.358974367380142 7366.66650390625 0.001151442527771
"104" 9 8 218 0.279487192630768 7366.66650390625 0.0114624500274658
"105" 9 9 98 0.125641033053398 7366.66650390625 0.258412837982178
"106" 9 10 70 0.0897435918450356 7366.66650390625 0.42144238948822
"107" 9 11 62 0.079487182199955 7366.66650390625 0.477262020111084
"108" 9 12 208 0.266666680574417 7366.66650390625 0.0158755779266357
"109" 10 1 80 0.102564103901386 7366.66650390625 0.357347130775452
"110" 10 2 212 0.271794885396957 7366.66650390625 0.0139570236206055
"111" 10 3 40 0.0512820519506931 7366.66650390625 0.649547815322876
"112" 10 4 130 0.16666667163372 7366.66650390625 0.132843255996704
"113" 10 5 108 0.138461545109749 7366.66650390625 0.212521910667419
"114" 10 6 194 0.248717948794365 7366.66650390625 0.0245348215103149
"115" 10 7 318 0.407692313194275 7366.66650390625 0.00022125244140625
"116" 10 8 268 0.343589752912521 7366.66650390625 0.00186562538146973
"117" 10 9 174 0.223076924681664 7366.66650390625 0.0438387393951416
"118" 10 10 53 0.0715249627828598 6833.66650390625 0.529324531555176
"119" 10 11 -13 -0.0175438597798347 6833.66650390625 0.884582579135895
"120" 10 12 -63 -0.0850202441215515 6833.66650390625 0.453251004219055
