"cuenca" "mes" "S" "tau" "var" "pvalue"
"1" 1 1 -57 -0.0731238052248955 7365.66650390625 0.514077186584473
"2" 1 2 75 0.0963392928242683 7363 0.388472318649292
"3" 1 3 -49 -0.0628608167171478 7365.66650390625 0.575965404510498
"4" 1 4 -60 -0.0775217115879059 7348 0.491274178028107
"5" 1 5 -57 -0.0735977217555046 7349 0.513600468635559
"6" 1 6 102 0.130769237875938 7366.66650390625 0.239293456077576
"7" 1 7 2 0.00256410264410079 7366.66650390625 0.99070405960083
"8" 1 8 80 0.102564103901386 7366.66650390625 0.357347130775452
"9" 1 9 86 0.110256411135197 7366.66650390625 0.322008967399597
"10" 1 10 -60 -0.0769230797886848 7366.66650390625 0.491823673248291
"11" 1 11 -40 -0.0512820519506931 7366.66650390625 0.649547874927521
"12" 1 12 -76 -0.097435899078846 7366.66650390625 0.382212102413177
"13" 2 1 -85 -0.114709854125977 6833.66650390625 0.309563994407654
"14" 2 2 -47 -0.0634277984499931 6833.66650390625 0.577899098396301
"15" 2 3 147 0.198380559682846 6833.66650390625 0.0773718357086182
"16" 2 4 -33 -0.0445344112813473 6833.66650390625 0.698682188987732
"17" 2 5 -163 -0.219973012804985 6833.66650390625 0.050031628459692
"18" 2 6 -185 -0.24966262280941 6833.66650390625 0.0260259341448545
"19" 2 7 -33 -0.0445344112813473 6833.66650390625 0.698682188987732
"20" 2 8 -23 -0.031039135530591 6833.66650390625 0.790138185024261
"21" 2 9 -13 -0.0175438597798347 6833.66650390625 0.884582579135895
"22" 2 10 99 0.133603245019913 6833.66650390625 0.235822319984436
"23" 2 11 153 0.206477731466293 6833.66650390625 0.0659557580947876
"24" 2 12 -23 -0.031039135530591 6833.66650390625 0.790138185024261
"25" 3 1 -12 -0.0153846153989434 7366.66650390625 0.898021280765533
"26" 3 2 -88 -0.112820513546467 7366.66650390625 0.310754537582397
"27" 3 3 222 0.284615397453308 7366.66650390625 0.0100275278091431
"28" 3 4 -46 -0.0589743591845036 7366.66650390625 0.600072264671326
"29" 3 5 -150 -0.192307695746422 7366.66650390625 0.082563079893589
"30" 3 6 -110 -0.141025647521019 7366.66650390625 0.204097926616669
"31" 3 7 -68 -0.0871794894337654 7366.66650390625 0.435026407241821
"32" 3 8 -70 -0.0897435918450356 7366.66650390625 0.42144238948822
"33" 3 9 -76 -0.097435899078846 7366.66650390625 0.382212102413177
"34" 3 10 58 0.0743589773774147 7366.66650390625 0.506620526313782
"35" 3 11 184 0.235897436738014 7366.66650390625 0.032995343208313
"36" 3 12 -76 -0.097435899078846 7366.66650390625 0.382212102413177
"37" 4 1 -128 -0.165164723992348 7350 0.138511180877686
"38" 4 2 -74 -0.0971399694681168 7274.66650390625 0.392060399055481
"39" 4 3 10 0.0134187694638968 7152 0.915248036384583
"40" 4 4 -14 -0.0182798150926828 7301.33349609375 0.879076838493347
"41" 4 5 -18 -0.0230769235640764 7366.66650390625 0.842992186546326
"42" 4 6 54 0.0692307725548744 7366.66650390625 0.536901712417603
"43" 4 7 -44 -0.0564102567732334 7366.66650390625 0.616374969482422
