"cuenca" "S" "tau" "var" "pvalue"
1 214 0.274358987808228 7366.66650390625 0.0130767822265625
2 85 0.114709854125977 6833.66650390625 0.309563994407654
3 126 0.16153846681118 7366.66650390625 0.145287752151489
4 -26 -0.0333333350718021 7366.66650390625 0.770840287208557
5 -182 -0.233333334326744 7366.66650390625 0.0349586233496666
6 14 0.0179487187415361 7366.66650390625 0.879610061645508
7 -166 -0.212820515036583 7366.66650390625 0.0545528344810009
8 210 0.269230782985687 7366.66650390625 0.014889121055603
9 -16 -0.0205128211528063 7366.66650390625 0.861263871192932
10 76 0.097435899078846 7366.66650390625 0.382212162017822
