"cuenca" "mes" "S" "tau" "var" "pvalue"
1 1 -18 -0.0230769235640764 7366.66650390625 0.842992186546326
1 2 26 0.0333333350718021 7366.66650390625 0.770840287208557
1 3 -68 -0.0871794894337654 7366.66650390625 0.435026407241821
1 4 32 0.0410256423056126 7366.66650390625 0.717963337898254
1 5 174 0.223076924681664 7366.66650390625 0.0438387393951416
1 6 172 0.220512822270393 7366.66650390625 0.0463352203369141
1 7 300 0.384615391492844 7366.66650390625 0.000494599342346191
1 8 352 0.451282054185867 7366.66650390625 4.32729721069336e-05
1 9 284 0.364102572202682 7366.66650390625 0.000976443290710449
1 10 144 0.184615388512611 7366.66650390625 0.0956939458847046
1 11 128 0.16410256922245 7366.66650390625 0.138958215713501
1 12 72 0.0923076942563057 7366.66650390625 0.408110380172729
2 1 -9 -0.0121457492932677 6833.66650390625 0.922905087471008
2 2 47 0.0634277984499931 6833.66650390625 0.577899098396301
2 3 -99 -0.133603245019913 6833.66650390625 0.235822319984436
2 4 -121 -0.163292840123177 6833.66650390625 0.146605968475342
2 5 135 0.182186231017113 6833.66650390625 0.105021715164185
2 6 345 0.465587049722672 6833.66650390625 3.1590461730957e-05
2 7 261 0.352226734161377 6833.66650390625 0.00165975093841553
2 8 265 0.35762482881546 6833.66650390625 0.00140523910522461
2 9 167 0.225371122360229 6833.66650390625 0.0446346998214722
2 10 47 0.0634277984499931 6833.66650390625 0.577899098396301
2 11 -7 -0.00944669358432293 6833.66650390625 0.942139327526093
2 12 -143 -0.192982450127602 6833.66650390625 0.0858411565423012
3 1 112 0.143589749932289 7366.66650390625 0.195919513702393
3 2 296 0.379487186670303 7366.66650390625 0.000588059425354004
3 3 -10 -0.0128205129876733 7366.66650390625 0.916487455368042
3 4 -38 -0.048717949539423 7366.66650390625 0.666404128074646
3 5 26 0.0333333350718021 7366.66650390625 0.770840287208557
3 6 130 0.16666667163372 7366.66650390625 0.132843255996704
3 7 196 0.251282066106796 7366.66650390625 0.0230894088745117
3 8 264 0.338461548089981 7366.66650390625 0.00218236446380615
3 9 28 0.0358974374830723 7366.66650390625 0.753082156181335
3 10 58 0.0743589773774147 7366.66650390625 0.506620526313782
3 11 36 0.0461538471281528 7366.66650390625 0.683430671691895
3 12 -76 -0.097435899078846 7366.66650390625 0.382212102413177
4 1 -96 -0.123076923191547 7366.66650390625 0.268359482288361
4 2 112 0.143589749932289 7366.66650390625 0.195919513702393
4 3 -108 -0.138461545109749 7366.66650390625 0.212521910667419
4 4 -48 -0.0615384615957737 7366.66650390625 0.583967506885529
4 5 72 0.0923076942563057 7366.66650390625 0.408110380172729
4 6 146 0.187179490923882 7366.66650390625 0.0911427736282349
4 7 106 0.135897442698479 7366.66650390625 0.221194267272949
4 8 92 0.117948718369007 7366.66650390625 0.28903341293335
4 9 106 0.135897442698479 7366.66650390625 0.221194267272949
4 10 56 0.0717948749661446 7366.66650390625 0.521648168563843
4 11 -38 -0.048717949539423 7366.66650390625 0.666404128074646
4 12 -224 -0.287179499864578 7366.66650390625 0.00937191490083933
5 1 -74 -0.0948717966675758 7366.66650390625 0.395032942295074
5 2 50 0.0641025677323341 7366.66650390625 0.568066954612732
5 3 -104 -0.133333340287209 7366.66650390625 0.230117380619049
5 4 -108 -0.138461545109749 7366.66650390625 0.212521910667419
5 5 -78 -0.100000001490116 7366.66650390625 0.369649708271027
5 6 -166 -0.212820515036583 7366.66650390625 0.0545528344810009
5 7 10 0.0128205129876733 7366.66650390625 0.916487455368042
5 8 50 0.0641025677323341 7366.66650390625 0.568066954612732
5 9 16 0.0205128211528063 7366.66650390625 0.861263871192932
5 10 4 0.00512820528820157 7366.66650390625 0.972117185592651
5 11 -64 -0.0820512846112251 7366.66650390625 0.462939441204071
5 12 -250 -0.32051283121109 7366.66650390625 0.00371845928020775
6 1 36 0.0461538471281528 7366.66650390625 0.683430671691895
6 2 206 0.264102578163147 7366.66650390625 0.0169190168380737
6 3 2 0.00256410264410079 7366.66650390625 0.99070405960083
6 4 28 0.0358974374830723 7366.66650390625 0.753082156181335
6 5 0 0 7366.66650390625 1
6 6 16 0.0205128211528063 7366.66650390625 0.861263871192932
6 7 44 0.0564102567732334 7366.66650390625 0.616374969482422
6 8 22 0.0282051283866167 7366.66650390625 0.806710600852966
6 9 -30 -0.0384615398943424 7366.66650390625 0.735453605651855
6 10 -20 -0.0256410259753466 7366.66650390625 0.824804604053497
6 11 8 0.0102564105764031 7366.66650390625 0.934998750686646
6 12 -146 -0.187179490923882 7366.66650390625 0.0911427959799767
7 1 -78 -0.100000001490116 7366.66650390625 0.369649708271027
7 2 -30 -0.0384615398943424 7366.66650390625 0.735453605651855
7 3 -94 -0.120512820780277 7366.66650390625 0.278566002845764
7 4 -56 -0.0717948749661446 7366.66650390625 0.521648168563843
7 5 -114 -0.146153852343559 7366.66650390625 0.187983840703964
7 6 -202 -0.258974373340607 7366.66650390625 0.0191880073398352
