"anio" "mes" "ppAcc" "mTmax" "mTmin" "est" "cuenca"
1970 1 -17.15 1.1972456575682 -3.47112489660877 26001 "YAQUI"
1970 2 -6.8918918918919 0.263888075267399 -3.75704966049794 26001 "YAQUI"
1970 3 8.1243243243243 -3.6704446381866 -3.15911072362685 26001 "YAQUI"
1970 4 -1.21351351351351 -0.637218907218898 -3.63803088803089 26001 "YAQUI"
1970 5 -5.61621621621622 0.329746049879603 -2.74319149118924 26001 "YAQUI"
1970 6 -12.8916666666667 -0.162069243156203 -2.7891747181965 26001 "YAQUI"
1970 7 -45.6742857142857 2.0870250896057 -0.0733589349718997 26001 "YAQUI"
1970 8 13.7057142857143 1.2276962756428 -0.634394488978401 26001 "YAQUI"
1970 9 -19.7416666666667 0.3397984749455 -1.8169662309368 26001 "YAQUI"
1970 10 -14.2078947368421 1.9763945759402 -4.03359059149033 26001 "YAQUI"
1970 11 -19.5405405405405 6.5820945945946 -1.55923423423424 26001 "YAQUI"
1970 12 -18.2594594594595 3.7052047073293 -0.247908488498033 26001 "YAQUI"
1971 1 -20.15 5.8359553349876 -2.90660876757651 26001 "YAQUI"
1971 2 7.1081081081081 2.1567452181246 -2.47133537478365 26001 "YAQUI"
1971 3 -11.3756756756757 4.1521360069747 -1.64298169136879 26001 "YAQUI"
1971 4 -3.71351351351351 0.162781092781103 -1.95469755469755 26001 "YAQUI"
1971 5 -5.61621621621622 -1.1702539501204 -2.69480439441505 26001 "YAQUI"
1971 6 -5.8916666666667 -3.0620692431562 -2.8058413848631 26001 "YAQUI"
1971 7 21.8257142857143 0.506379928315404 -1.1217460317461 26001 "YAQUI"
1971 8 24.2057142857143 -1.0464972727442 -1.4440719083332 26001 "YAQUI"
1971 9 -19.2416666666667 1.0064651416122 -1.6836328976035 26001 "YAQUI"
1971 10 1.7921052631579 -4.6848957466405 -1.5013325269742 26001 "YAQUI"
1971 11 -8.5405405405405 -0.9679054054054 -1.8259009009009 26001 "YAQUI"
1971 12 23.2405405405405 -2.6980210991224 -1.47371494011093 26001 "YAQUI"
1972 1 -20.15 0.503697270471399 -3.21306038047973 26001 "YAQUI"
1972 2 -16.8918918918919 -2.164683353304 -3.88204966049794 26001 "YAQUI"
1972 3 -11.3756756756757 -0.363993025283403 -1.57846556233653 26001 "YAQUI"
1972 4 -6.71351351351351 1.3127810927811 -2.42136422136422 26001 "YAQUI"
1972 5 0.88378378378378 -2.9605765307656 -4.14641729764085 26001 "YAQUI"
1972 6 9.6083333333333 -3.5954025764896 -4.2058413848631 26001 "YAQUI"
1973 10 -26.2078947368421 -0.362315101479201 1.45028037625161 26001 "YAQUI"
1973 11 -9.0405405405405 1.6654279279279 -1.25923423423424 26001 "YAQUI"
1973 12 -27.2594594594595 3.0761724492647 -2.44145687559481 26001 "YAQUI"
1974 1 -4.15 -2.6414640198512 1.20952026468156 26001 "YAQUI"
1974 2 -16.8918918918919 -2.9361119247326 0.0643789109306301 26001 "YAQUI"
1974 3 -11.3756756756757 -0.105928509154303 0.71185701830863 26001 "YAQUI"
1974 4 -6.71351351351351 -0.287218907218897 -1.23803088803089 26001 "YAQUI"
1974 5 -5.61621621621622 0.345875082137603 -0.810933426673099 26001 "YAQUI"
1974 6 -4.8916666666667 1.7379307568438 1.2941586151369 26001 "YAQUI"
1974 7 33.1257142857143 -1.4774910394265 -1.2507782898106 26001 "YAQUI"
1974 8 -12.0942857142857 -0.740045659841002 -0.589233198655801 26001 "YAQUI"
1974 9 0.9583333333333 -1.5268681917212 -0.983632897603499 26001 "YAQUI"
1974 10 19.0921052631579 -2.2332828434147 0.772861021412909 26001 "YAQUI"
1974 11 -3.2405405405405 -0.234572072072101 -1.19256756756757 26001 "YAQUI"
1974 12 -26.7594594594595 -1.9076985184772 -2.42532784333674 26001 "YAQUI"
1975 1 -0.449999999999999 0.00369727047139889 -1.9549958643507 26001 "YAQUI"
1975 2 -16.8918918918919 -0.450397639018298 -2.27490680335508 26001 "YAQUI"
1975 3 6.3243243243243 -2.1865736704447 -1.49782040104621 26001 "YAQUI"
1975 4 -2.51351351351351 -3.8872189072189 -2.97136422136422 26001 "YAQUI"
1975 5 -5.61621621621622 -2.4121894339914 -2.90448181376989 26001 "YAQUI"
1975 6 -12.8916666666667 -1.4954025764896 -1.4225080515298 26001 "YAQUI"
1975 7 14.8257142857143 -2.2516845878137 -0.928197644649298 26001 "YAQUI"
1975 8 -69.5942857142857 1.6147930498364 -0.0569751341396021 26001 "YAQUI"
1975 9 38.2583333333333 -1.5102015250545 -1.3336328976035 26001 "YAQUI"
1975 10 -17.4078947368421 0.0570397372305003 -2.16262284955484 26001 "YAQUI"
1975 11 25.7594594594595 0.682094594594599 -2.5259009009009 26001 "YAQUI"
1975 12 -18.9594594594595 0.495527287974397 -1.81242461753029 26001 "YAQUI"
1976 1 -15.55 0.4230521091811 -3.11628618693135 26001 "YAQUI"
1976 2 3.0081081081081 1.6284200949719 -0.15791172946346 26001 "YAQUI"
1976 3 -10.3756756756757 0.555361813426298 -1.61072362685266 26001 "YAQUI"
1976 4 26.4864864864865 -1.6538855738855 -0.42136422136422 26001 "YAQUI"
1976 5 8.38378378378378 -0.7186410468946 -0.6302882653828 26001 "YAQUI"
1976 6 4.1083333333333 -0.212069243156201 -1.4725080515298 26001 "YAQUI"
1976 7 -33.3742857142857 -2.4936200716846 -0.8152944188428 26001 "YAQUI"
1976 8 -60.1942857142857 1.2276962756428 -0.4118138438171 26001 "YAQUI"
