"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 14.4846153846154 42.5084049798052 31.9597510464446 1.84426963026376 11.6137347419606 1.13846492050942
2 5.58205128205128 10.5848917105286 34.3143709738537 1.593201565259 13.00513136289 1.31215506553487
3 2.08461538461538 6.22433841174848 37.0522828784119 1.20017890843838 14.8746484698098 1.00036885611396
4 1.92307692307692 5.0772693416453 39.377365584607 1.38322942942517 17.7257336533199 0.930042639113971
5 14.8724137931034 15.6114860771467 40.3547484466743 1.00634783252796 20.4414619185936 1.10386511926076
6 171.22972972973 88.9935012136182 38.3075487063418 1.61544867802757 22.1232314827142 0.783893520021211
7 243.617948717949 64.9908247443027 34.2413289219741 1.40062170782357 20.6822994210091 0.456391089350945
8 222.148717948718 72.5929490261492 34.0869313482217 0.920421728882967 20.4802315963606 0.448972501711956
9 147.612820512821 59.5543854918262 34.2024255820808 0.994043295821928 20.4348423224285 0.593645499862906
10 48.5205128205128 41.2902191775497 34.6713537358699 1.18111975433575 18.0870967741936 1.05753071548571
11 11.05 18.2292421748758 33.7468678689731 1.34090661567426 13.9895196908355 1.20693457733395
12 8.41388888888889 12.772048784699 31.9235545180155 1.44646312288381 12.3387120027144 1.45531712980122
