"anio" "ppAcc" "mTmax" "mTmin"
1970 885.8 34.835989010989 17.1074175824176
1971 802.8 34.6027397260274 17.5068493150685
1972 751 35.3387978142077 18.2103825136612
1973 851.8 34.486301369863 17.6068493150685
1974 856.3 34.8767123287671 17.2953424657534
1975 1081.4 34.7479452054795 16.9109589041096
1976 927.9 34.0628415300546 17.5314207650273
1977 905.7 34.8827397260274 17.5027397260274
1978 980.5 34.3585074626866 16.8970149253731
1979 900.1 35.6054794520548 17.227397260274
1980 1098.3 34.7516483516483 17.5673076923077
1981 1105.5 34.9068493150685 17.8123287671233
1982 841.4 35.5383561643836 17.7109589041096
1983 759.3 34.4787878787879 16.7176308539945
1984 741.9 34.7185792349727 17.1612021857923
1985 1076.2 34.6575342465753 17.3315068493151
1986 835.5 35.4123287671233 17.1013698630137
1987 950.8 34.8849315068493 16.6808219178082
1988 943.4 35.3460273972603 17.0027397260274
1989 685.8 35.6980821917808 17.4068493150685
1991 590.9 34.2145214521452 16.5082508250825
1992 967.5 34.1821917808219 17.2301369863014
1993 979.6 36.3561643835616 16.7219178082192
1994 742.9 36.886301369863 17.2041095890411
1995 750.3 36.0523952095808 17.1392215568862
1996 859.1 35.8866120218579 17.0860655737705
1997 1127.1 35.2865013774105 16.4614325068871
1998 967.7 36.3939828080229 17.1203438395415
1999 828.5 35.8769968051118 16.0543130990415
2000 721.2 36.6128526645768 17.3808777429467
2001 768.8 35.5083076923077 16.6892307692308
2002 795.5 35.8630363036304 17.5
2003 934.7 35.0832278481013 16.7278481012658
2004 1102.1 34.574328358209 16.4417910447761
2005 750.6 36.0026706231454 17.053412462908
2006 826.7 36.3471337579618 17.7197452229299
2007 981.4 35.6617161716172 17.0287128712871
2008 911.5 34.6496894409938 16.5248447204969
2009 655.1 35.7524429967427 17.7752442996743
