"anio" "ppAcc" "mTmax" "mTmin"
1970 849 26.3383561643836 10.0369863013699
1971 884 26.3719008264463 10.4476584022039
1972 1011.4 26.8465753424658 10.8205479452055
1973 1060.8 26.4574175824176 10.3434065934066
1974 864.4 26.7493150684931 10.1876712328767
1975 948.8 26.6287671232877 10.0528767123288
1976 1081.4 25.8524590163934 10.6543715846995
1977 739.9 26.5109589041096 10.3643835616438
1978 875.4 26.3223140495868 9.93250688705234
1979 625.5 27.0309589041096 9.57671232876712
1980 896.1 26.379781420765 10.3428961748634
1981 898.4 26.3914835164835 10.1593406593407
1982 696.6 27.4285714285714 9.85164835164835
1983 892.5 26.3536312849162 9.37709497206704
1984 867.8 26.1333333333333 9.62295081967213
1985 833.5 26.4779005524862 9.87154696132597
1986 943 26.6964285714286 9.85302197802198
1987 873.4 26.8287671232877 9.67260273972603
1988 822.5 27.0191780821918 9.93013698630137
1989 605.9 26.972602739726 9.84383561643836
1990 983.7 26.596978021978 10.6552197802198
1991 960.8 26.935261707989 10.263085399449
1992 1128.7 25.3978142076503 10.4767759562842
1993 638.6 27.058904109589 9.9
1994 745.5 27.7890410958904 10.1616438356164
1995 928 27.5343406593407 10.0837912087912
1996 829.2 26.9931693989071 9.77459016393443
1997 869.6 26.5903581267218 9.91046831955923
1998 910.8 27.5494505494506 10.1428571428571
1999 700 27.1112637362637 9.53434065934066
2000 668 27.2909836065574 9.80464480874317
2001 514.9 26.4797014925373 9.38059701492537
2002 931.2 26.5339726027397 10.5095890410959
2003 904.3 24.8205761316872 9.98559670781893
2004 991.5 25.8606557377049 10.370218579235
2005 829.3 26.727397260274 10.0890410958904
2006 847 26.8123287671233 10.4041095890411
2007 893.1 26.9205479452055 9.85890410958904
2008 1103.4 27.2298507462687 9.61044776119403
2009 893.3 27.5989010989011 9.96428571428571
