"anio" "ppAcc" "mTmax" "mTmin"
1970 6.59412001112931 10.4274451132214 7.47175771462617
1971 38.3745014993662 11.1297095806524 -1.49983859513064
1972 -11.0272977401305 16.2119013614744 0.448106610348873
1973 15.3739141187745 13.2255999916114 -0.582030375952538
1974 -8.9869230531425 13.1297095806524 -6.67518106088403
1975 14.6474170711349 12.0338191696933 -8.65874270471964
1976 28.5590626642347 -1.10316713167663 -3.97381119787033
1977 3.27078245277769 -7.39083836455364 -4.94641393759633
1978 5.62030481961231 -10.0921174079197 -0.0845733260774395
1979 -41.8493214208427 -5.17166028236165 -3.89161941704844
1980 1.26132253377438 -4.82919452893665 -0.688879691021036
1981 17.8934677095248 -11.0620712412656 -6.15189338965114
1982 -27.0256901721953 0.650257525857363 1.80701071993786
1983 -8.12130954957184 -4.87514515365465 2.20558816988516
1984 4.21368287631001 -11.6374137070186 -1.04230434855523
1985 -7.36389773394752 -11.9222460790446 0.557055781221258
1986 10.6439546171206 -5.18535891249865 0.98509291171867
1987 -10.5172040683835 -1.88398904948464 2.09194222678716
1988 -4.93708844715121 2.96532601900836 2.36865455555426
1989 -16.4373821374471 8.08861369024136 -1.90531804718544
1990 11.1076761368906 -3.17166028236166 4.35495592541736
1991 28.9609546480353 -6.58809863852564 3.97139428158166
1992 44.1710204964912 -19.4938775141906 1.67017413037277
1993 -5.27715089498255 -4.96618083030665 0.259065514458463
1994 13.1171360558939 -6.01549589879966 3.43988743226667
1995 -51.0155501282963 -16.2861736676247 1.49606076918136
1996 -28.8805762512752 -1.46109062894464 -1.91725756361624
1997 -18.4159272884657 -3.36690339541263 -1.43177446747744
1998 -4.68977030327388 5.15710684092635 6.09742167884196
1999 -47.8158716418833 -1.77440000838864 -6.32723585540453
2000 -24.0269576776826 5.28754325083735 -2.72873297345233
2001 -17.040220113148 6.69184671873936 -0.00648299994223223
2002 4.94017992394966 3.18646701466434 3.03579454887206
2003 24.9420348100287 2.80067902216935 6.07921454351157
2004 46.0104491915788 -5.36819445408064 -0.160426962523328
2005 -27.9840479797199 11.3762849231184 2.19057236377347
2006 12.3906390082542 5.70505204640536 1.49468195281457
2007 44.6347420162612 2.55436711489835 1.45084633637627
2008 -0.40807493739761 3.98972904318637 -2.14949800077473
2009 -14.9071011222061 9.03381916969337 1.34673674733516
