"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 11.97 21.9779166554253 22.5149165739711 1.51156553225531 2.65094549499444 1.44184214103157
2 4.755 7.5136439996746 24.2995495768599 1.43217710584646 3.85574360728671 1.32769779044336
3 6.455 13.1240814086363 27.2524158395368 1.26580338671205 6.50608250620347 1.30357533487195
4 14.2425 18.0595437870083 29.461891025641 1.88635815039292 9.14724358974359 1.17864255804743
5 42.9925 35.487443698531 30.5926011044017 1.69637110319245 11.6665074288892 1.16094518396154
6 87.12 66.5871828738604 28.3032266009852 1.65809051038747 12.8835467980296 0.991719224645934
7 114.835 71.6961485572881 26.4260944700461 1.54263908890043 12.7139496927803 0.720784862521698
8 91.7025 61.0651375109462 26.1427974057006 1.1372469015484 12.4124887992832 0.832814334177504
9 88.965 54.4962833359845 25.3162522806057 1.10841153560067 11.877655651341 1.29908047294971
10 33.6375 31.467872810706 25.0930328341014 1.29542060037829 8.66104550691244 1.7800113758724
11 7.3525 9.49334415963802 24.2349603174603 1.27017862772992 5.21823923554096 1.54300917856179
12 7.5625 12.1158020888594 22.7476228216537 1.39989683656985 3.37937615869485 1.54355710480217
