"anio" "ppAcc" "mTmax" "mTmin"
1970 348.3 26.9805479452055 8.78630136986301
1971 816.9 25.7821917808219 9.33972602739726
1972 505.7 25.8112328767123 9.81232876712329
1973 832.7 25.5164383561644 8.55534246575342
1974 392.6 25.6287671232877 7.96027397260274
1975 604.8 25.5095890410959 7.77534246575342
1976 706.1 24.7150684931507 8.23835616438356
1977 402.8 25.6698630136986 8.01095890410959
1978 588.8 25.4184573002755 8.70936639118457
1979 393.5 25.9331506849315 7.99178082191781
1980 441.1 26.0424657534247 8.43835616438356
1981 461.1 25.158904109589 8.40821917808219
1982 397.5 26.327397260274 8.21643835616438
1983 470.3 25.7739726027397 7.82328767123288
1984 501.6 25.0504109589041 8.05890410958904
1985 579.9 25.1764383561644 8.08630136986301
1986 566.5 25.5095890410959 8.21506849315069
1987 439.4 25.6671232876712 7.58767123287671
1988 412.3 26.0041208791209 7.62087912087912
1989 358.4 26.2484931506849 7.74520547945205
1990 684.1 25.4150684931507 8.48109589041096
1991 768.7 25.6356164383562 8.33013698630137
1992 613.3 24.4643835616438 8.23150684931507
1993 403.4 25.9104109589041 7.74109589041096
1994 471.2 26.2164383561644 8.05890410958904
1995 458 25.9698630136986 8.14794520547945
1996 341 26.5013661202186 7.22814207650273
1997 472.4 26.271978021978 7.80494505494505
1998 489.9 27.4054794520548 7.47260273972603
1999 324.2 26.706043956044 7.86813186813187
2000 328.6 27.3450704225352 8.46197183098591
2001 303.5 26.7379008746356 9.02915451895044
2002 558.7 26.6038348082596 9.46460176991151
2003 714.2 26.4632107023411 9.07190635451505
2004 714.2 25.9666666666667 9.43579234972678
2005 359.7 27.0164383561644 9.40821917808219
2006 654.1 26.5657534246575 9.61780821917808
2007 523.2 26.427397260274 9.40164383561644
2008 483.4 26.318306010929 8.80464480874317
2009 577.5 26.9506849315068 9.66575342465753
