"anio" "mes" "dia" "pp" "tmax" "tmin"
1970 1 1 1 18 13
1970 1 2 1.5 24.5 11.5
1970 1 3 1 18 12
1970 1 4 0 17.5 14
1970 1 5 0 26 11
1970 1 6 7 17 11
1970 1 7 0 14 9.5
1970 1 8 0 19 9
1970 1 9 1 22 8.5
1970 1 10 0 23 9
1970 1 11 0 30 9
1970 1 12 0 27 10
1970 1 13 0 25 10.5
1970 1 14 1 23 12
1970 1 15 0 18 14
1970 1 16 0 26 9.5
1970 1 17 0 24 10.5
1970 1 18 0 28 8.5
1970 1 19 6 22 9
1970 1 20 0 21 15
1970 1 21 0 25 14
1970 1 22 0 25 14
1970 1 23 1 24 13.5
1970 1 24 3 24 12
1970 1 25 0 27 12
1970 1 26 0 29 11
1970 1 27 0 24.5 11.5
1970 1 28 0 29 11.5
1970 1 29 2.5 30 12
1970 1 30 0 16.1 12.5
1970 1 31 0 23.5 12
1970 2 1 0 30 9.5
1970 2 2 0 36 10.5
1970 2 3 0 14.6 14.5
1970 2 4 0 17 8
1970 2 5 0 23 6
1970 2 6 0 26 7
1970 2 7 3 21 13
1970 2 8 2 21 14
1970 2 9 16 22 14.5
1970 2 10 3 20.5 13.5
1970 2 11 0 22 13.5
1970 2 12 2.5 20.5 9
1970 2 13 0 24 10
1970 2 14 0 27 11
1970 2 15 0 31.5 11
1970 2 16 0 17.5 13
1970 2 17 0 22.5 12.5
1970 2 18 0 25 10.5
1970 2 19 4.5 30 12
1970 2 20 37.5 24.5 13.5
1970 2 21 31 17 16
1970 2 22 2.5 22 14.5
1970 2 23 0 20 14
1970 2 24 0 25 15
1970 2 25 2.5 24 13
1970 2 26 0 22 13.5
1970 2 27 0 23 9.5
1970 2 28 0 25 11
1970 3 1 0 27 15
1970 3 2 0 27 14
1970 3 3 0 30 13
1970 3 4 0 29 13
1970 3 5 0 24 14.5
1970 3 6 0 29 15
1970 3 7 0 25 15.5
1970 3 8 4 18 14.5
1970 3 9 0 24 11.5
1970 3 10 0 28 11
1970 3 11 0 30.5 11.5
1970 3 12 7 20 13.5
1970 3 13 5.5 15.1 15
1970 3 14 3 14 12
1970 3 15 0 17 12
1970 3 16 0 26 8.5
1970 3 17 0 28.5 10.5
1970 3 18 0 28 13
1970 3 19 0 32 12.5
1970 3 20 0 27.5 14.5
1970 3 21 3.5 22 18.5
1970 3 22 3 18.5 14.5
1970 3 23 5 16.5 14
1970 3 24 0 25 14
1970 3 25 0 31.5 15
1970 3 26 4 23.5 14
1970 3 27 0 23 15.5
1970 3 28 0 32 12
1970 3 29 0 24 14.5
1970 3 30 0 34 12
1970 3 31 0 33 13
1970 4 1 0 34.5 14.5
1970 4 2 0 29 14
1970 4 3 0 28 12
1970 4 4 3 30.5 12.5
1970 4 5 3 25 15
1970 4 6 6 19 16
1970 4 7 0 22.5 15.5
1970 4 8 0 29 13
1970 4 9 0 29 14.5
1970 4 10 0 27.5 11.5
1970 4 11 0 31 17
1970 4 12 0 31.5 18
1970 4 13 0 32.5 13
1970 4 14 0 33 16
1970 4 15 0 34 17
1970 4 16 0 35 16.5
1970 4 17 0 34.5 18
1970 4 18 0 35 18.5
1970 4 19 0 36 20
1970 4 20 0 34 13.5
1970 4 21 0 35 15.5
1970 4 22 0 35 18
1970 4 23 0 35 19
