"anio" "mes" "dia" "pp" "tmax" "tmin"
1970 1 1 0 28 19
1970 1 2 1 27 16
1970 1 3 0.2 22 18
1970 1 4 0 23 17
1970 1 5 0 26 15
1970 1 6 11 20 16
1970 1 7 0 18 14
1970 1 8 0 21 13
1970 1 9 0 19 13
1970 1 10 2 21 14
1970 1 11 0 27 16
1970 1 12 0 27 17
1970 1 13 0 22 16
1970 1 14 0 25 17
1970 1 15 0.5 27 17
1970 1 16 0 30 16
1970 1 17 0 29 19
1970 1 18 0 31 18
1970 1 19 0 25 22
1970 1 20 0 26 18
1970 1 21 0 28 17
1970 1 22 0 26 19
1970 1 23 0 26 18
1970 1 24 0 26 18
1970 1 25 0 29 19
1970 1 26 0 26 18
1970 1 27 0 28 19
1970 1 28 0 34 18
1970 1 29 0 29 22
1970 1 30 0 25 18
1970 1 31 0 26 17
1970 2 1 0 31 16
1970 2 2 0 35 17
1970 2 3 0 20 19
1970 2 4 0 22 15
1970 2 5 0 25 11
1970 2 6 0 26 10
1970 2 7 0 27 14
1970 2 8 0 28 14
1970 2 9 0 26 16
1970 2 10 0 24 17
1970 2 11 0 25 15
1970 2 12 0 26 14
1970 2 13 0 28 13
1970 2 14 0 27 14
1970 2 15 0 33 16
1970 2 16 0 25 18
1970 2 17 0 25 15
1970 2 18 0 26 16
1970 2 19 15 30 15
1970 2 20 7 24 16
1970 2 21 0 20 16
1970 2 22 0 28 15
1970 2 23 0 27 14
1970 2 24 0 28 15
1970 2 25 0 26 20
1970 2 26 0 24 16
1970 2 27 0 24 17
1970 2 28 0 25 19
1970 3 1 0 27 18
1970 3 2 0 28 15
1970 3 3 0 34 16
1970 3 4 0 34 20
1970 3 5 0 29 22
1970 3 6 0 36 22
1970 3 7 0 33 21
1970 3 8 0 24 22
1970 3 9 0 28 17
1970 3 10 0 27 18
1970 3 11 0 35 14
1970 3 12 2 26 14
1970 3 13 0 27 13
1970 3 14 0 26 14
1970 3 15 0 27 16
1970 3 16 0 28 18
1970 3 17 0 27 16
1970 3 18 0 29 18
1970 3 19 0 36 15
1970 3 20 0 29 21
1970 3 21 0 28 20
1970 3 22 2 24 18
1970 3 23 0 24 17
1970 3 24 0 27 17
1970 3 25 0 36 18
1970 3 26 0 28 20
1970 3 27 0 30 20
1970 3 28 0 38 19
1970 3 29 0 37 21
1970 3 30 0 37 20
1970 3 31 0 33 19
1970 4 1 0 38 22
1970 4 2 0 39 23
1970 4 3 0 31 18
1970 4 4 0 33 17
1970 4 5 0 27 19
1970 4 6 0 24 20
1970 4 7 0 29 20
1970 4 8 0 34 19
1970 4 9 0 33 20
1970 4 10 0 33 21
1970 4 11 0 33 22
1970 4 12 0 35 23
1970 4 13 0 36 22
1970 4 14 0 38 22
1970 4 15 0 39 22
1970 4 16 0 39 21
1970 4 17 0 39 24
1970 4 18 0 40 24
1970 4 19 0 41 25
1970 4 20 0 35 20
1970 4 21 0 39 20
1970 4 22 0 40 24
1970 4 23 0 38 23
1970 4 24 0 38 24
1970 4 25 0 36 23
1970 4 26 0 42 24
1970 4 27 0 42 24
1970 4 28 0 40 24
1970 4 29 0 43 25
1970 4 30 0 38 24
1970 5 1 0 44 24
1970 5 2 0 38 24
1970 5 3 0 36 21
1970 5 4 0 30 18
1970 5 5 0 30 17
1970 5 6 0 30 15
1970 5 7 0 32 17
1970 5 8 0 29 16
1970 5 9 0 40 19
1970 5 10 0 40 22
1970 5 11 0 42 25
1970 5 12 0 36 23
1970 5 13 0 37 23
1970 5 14 0 38 22
1970 5 15 5 37 23
1970 5 16 0 29 22
1970 5 17 0 31 19
1970 5 18 0 33 20
1970 5 19 0 35 20
1970 5 20 0 34 17
1970 5 21 0 38 18
1970 5 22 0 36 17
1970 5 23 0 35 20
1970 5 24 0 35 22
1970 5 25 0 40 22
1970 5 26 0 38 26
1970 5 27 0 31 24
1970 5 28 0 43 28
1970 5 29 0 39 23
1970 5 30 0 32 23
1970 5 31 0 36 22
1970 6 1 0 32 22
1970 6 2 0 33 22.5
1970 6 3 0 34 22
1970 6 4 0 37 21
1970 6 5 0 35 20
1970 6 6 0 33 21
1970 6 7 0 34 23
1970 6 8 2 37 22
1970 6 9 0 35 22
1970 6 10 0 41 24
1970 6 11 0 40 25
1970 6 12 0 41 26
1970 6 13 0 41 22
1970 6 14 0 39 22
1970 6 15 0 37 23
1970 6 16 0 39 22
1970 6 17 2 37 23
1970 6 18 0 35 25
1970 6 19 9 34 22
1970 6 20 41 36 23
1970 6 21 17 37 22
1970 6 22 2 35 22
1970 6 23 0 33 23
1970 6 24 0 36 22
1970 6 25 0 38 22
1970 6 26 0 34 23
1970 6 27 33 33 22
1970 6 28 0 32 23
1970 6 29 0 35 22
1970 6 30 0 32 21
1970 7 1 32 34 22
1970 7 2 27 32 22
1970 7 3 42 35 25
1970 7 4 31 37 22
1970 7 5 12 37 22
1970 7 6 15 33 23
1970 7 7 71 33 21
1970 7 8 0 34 21.5
1970 7 9 0 37 22
1970 7 10 0 35 23
1970 7 11 0 36 22
1970 7 12 0 37 23
1970 7 13 19 34 23
1970 7 14 20 30 21.5
1970 7 15 0 34 23
1970 7 16 0 33 22
1970 7 17 0 35 21
1970 7 18 0 32 21.5
1970 7 19 26 34 23
1970 7 20 0 35 21
1970 7 21 0 34 22
1970 7 22 0 33 21
1970 7 23 4 36 23
1970 7 24 0 36 24
1970 7 25 0 34 24
1970 7 26 0 32 23
1970 7 27 0 35 23
1970 7 28 1 32 22
1970 7 29 12 30 22
1970 7 30 0 35 21
1970 7 31 0 33 21
1970 8 1 12 34 21
1970 8 2 0 33 22
1970 8 3 0 35 23
1970 8 4 6 32 22
1970 8 5 38 36 21
1970 8 6 2 33 23
1970 8 7 0 35 22
1970 8 8 0 36 22.5
1970 8 9 0 35 22
1970 8 10 0 35 22.5
1970 8 11 0 34 23
1970 8 12 0 37 24
1970 8 13 0 37 21
1970 8 14 0 36 22
1970 8 15 28 30 22
1970 8 16 6 31 23
1970 8 17 5 33 22
1970 8 18 0 35 23
1970 8 19 0 37 22
1970 8 20 0 35 23
1970 8 21 0 37 23
1970 8 22 0 28 22
1970 8 23 0 34 23
1970 8 24 0 35 22
1970 8 25 0 36 22
1970 8 26 9 35 23
1970 8 27 6 35 22
1970 8 28 46 28.1 23
1970 8 29 43 29 22
1970 8 30 27 30 22
1970 8 31 0 29 21
1970 9 1 2 29 22
1970 9 2 0 35 21
1970 9 3 0 35 23
1970 9 4 0 36 22
1970 9 5 0 35 24
1970 9 6 3 33 23
1970 9 7 10 32 20
1970 9 8 6 28 21
1970 9 9 14 30 24
1970 9 10 53 32 21
1970 9 11 0 32 22
1970 9 12 0 33 21
1970 9 13 0 32 22
1970 9 14 0 33 21
1970 9 15 0 34 22
1970 9 16 0 33 22
1970 9 17 48 32 20
1970 9 18 0 36 21
1970 9 19 0 34 22
1970 9 20 0 35 21
1970 9 21 0 33 23
1970 9 22 0 32 22
1970 9 23 50.5 30 21
1970 9 24 0 36 21
1970 9 25 0 34 22
1970 9 26 0 33 22
1970 9 27 16 32 23
1970 9 28 0 30 21
1970 9 29 7 29 22
1970 9 30 0 30 21
1970 10 1 12 28 20
1970 10 2 0 30 19
1970 10 3 0 30 20
1970 10 4 0 31 21
1970 10 5 0 34 22
1970 10 6 0 35 23
1970 10 7 0 36 23
1970 10 8 0 36 21
1970 10 9 0 33 22
1970 10 10 0 32 21
1970 10 11 0 33 22
1970 10 12 0 37 22
1970 10 13 0 30 22
1970 10 14 0 35 21
1970 10 15 0 36 22
1970 10 16 11.3 32 21
1970 10 17 4 32 22
1970 10 18 42 37 21
1970 10 19 0 36 22
1970 10 20 19 33 20
1970 10 21 26 31 21
1970 10 22 5.5 34 22
1970 10 23 0 35 21
1970 10 24 0 36 21
1970 10 25 0 37 22
1970 10 26 0 34 22
1970 10 27 0 34 20
1970 10 28 8 32 22
1970 10 29 0 25 18
1970 10 30 0 24 19
1970 10 31 6 29 18
1970 11 1 0 26 20
1970 11 2 0 29 19
1970 11 3 8 25 20
1970 11 4 7 28 18
1970 11 5 0 32 18
1970 11 6 0 33 18
1970 11 7 0 33 20
1970 11 8 0 32 18
1970 11 9 0 29 17
1970 11 10 0 28 18
1970 11 11 0 30 18
1970 11 12 0 30 17
1970 11 13 0 30 18
1970 11 14 3 27 20
1970 11 15 2 27 17
1970 11 16 0 32 16
1970 11 17 0 33 15
1970 11 18 0 28 18
1970 11 19 0 32 17
1970 11 20 0 28 20
1970 11 21 0 33 18
1970 11 22 0 33 18
1970 11 23 0 32 16
1970 11 24 0 28 16
1970 11 25 0 29 11
1970 11 26 0 29 13
1970 11 27 0 28 15
1970 11 28 0 29 16
1970 11 29 0 30 17
1970 11 30 0 29 18
1970 12 1 0 29 17
1970 12 2 0 30 17
1970 12 3 0 30 18
1970 12 4 0 28 19
1970 12 5 0 30 17
1970 12 6 0 29 20
1970 12 7 1.8 27 14
1970 12 8 1.9 28 13
1970 12 9 0.4 30 15
1970 12 10 0 29 17
1970 12 11 0 29 16
1970 12 12 0 28 15
1970 12 13 0 27 13
1970 12 14 0 29 15
1970 12 15 0 29 15
1970 12 16 0 28 16
1970 12 17 0 28 18
1970 12 18 0 27 18
1970 12 19 0 29 12
1970 12 20 0 27 14
1970 12 21 0 29 13
1970 12 22 0 29 16
1970 12 23 0 31 14
1970 12 24 0 27 13
1970 12 25 0 28 13
1970 12 26 0 30 12
1970 12 27 0 27 14
1970 12 28 0 28 15
1970 12 29 0 30 15
1970 12 30 0 29 14
1970 12 31 0 29 16
1971 1 1 2.8 29 15
1971 1 2 0 30 15
1971 1 3 0 31 14
1971 1 4 0 32 15
1971 1 5 0 35 13
1971 1 6 0 28 14
1971 1 7 1.8 28 15
1971 1 8 0 29 14
1971 1 9 0 28 14
1971 1 10 0 29 15
1971 1 11 0 26 15
1971 1 12 0 29 14
1971 1 13 0 30 15
1971 1 14 0 29 14
1971 1 15 7.8 26 15
1971 1 16 0 26 14
1971 1 17 0 29 15
1971 1 18 0 30 17
1971 1 19 4.7 28 15
1971 1 20 0 26 14
1971 1 21 0 28 17
1971 1 22 0 29 15
1971 1 23 0 31 13
1971 1 24 0 30 14.5
1971 1 25 0 29 16
1971 1 26 0 29 18
1971 1 27 1.3 28 17.5
1971 1 28 0 30 18
1971 1 29 0 29 17
1971 1 30 0 32 19
1971 1 31 0 32 17
1971 2 1 0 29 17
1971 2 2 0 28.5 18
1971 2 3 0 29.5 17.5
1971 2 4 0 30 16
1971 2 5 0 28 17
1971 2 6 0 29 16
1971 2 7 0 30 15
1971 2 8 1.2 26 18
1971 2 9 4.2 21 13
1971 2 10 6.7 27 14
1971 2 11 0 28 16
1971 2 12 0 26 18
1971 2 13 0 24 16
1971 2 14 0 27 12
1971 2 15 0 29 15
1971 2 16 0 31 18
1971 2 17 0 29 18
1971 2 18 0 30 17
1971 2 19 0 32 16
1971 2 20 0 34 19
1971 2 21 0 36 18
1971 2 22 0 26 20
1971 2 23 0 29 18
1971 2 24 0 34 17
1971 2 25 0 37 18
1971 2 26 0 39 20
1971 2 27 0 30 22
1971 2 28 0 33 21
1971 3 1 0 36 17
1971 3 2 0 32 18
1971 3 3 0 30 19
1971 3 4 0 34 14
1971 3 5 0 29 14
1971 3 6 0 26 16
1971 3 7 2.7 34 17
1971 3 8 0 34 15
1971 3 9 0 29 16
1971 3 10 0 31 16
1971 3 11 0 33 17
1971 3 12 0 31 18
1971 3 13 0 34 17
1971 3 14 0 35 19
1971 3 15 0 31 21.5
1971 3 16 0 30.5 19
1971 3 17 0 30 20
1971 3 18 0 33 18.5
1971 3 19 1.8 31 17
1971 3 20 1.4 34 18
1971 3 21 0 31 17
1971 3 22 0 30 15
1971 3 23 0 33 19
1971 3 24 0 35 19.5
1971 3 25 0 35 20
1971 3 26 0 36 20
1971 3 27 0 32 21
1971 3 28 0 34 21
1971 3 29 1.4 36 20
1971 3 30 0 39 20
1971 3 31 0 32 18
1971 4 1 0 32 19
1971 4 2 0 36 18
1971 4 3 0 27 20
1971 4 4 0 32 19
1971 4 5 0 27 20
1971 4 6 0 26 15
1971 4 7 0 28 16
1971 4 8 0 26 18
1971 4 9 0 29 15
1971 4 10 0 28 16
1971 4 11 0 27 18
1971 4 12 0 36 18
1971 4 13 0 37 17
1971 4 14 0 33 18
1971 4 15 0 32 16
1971 4 16 0 36 17
1971 4 17 0 34 17
1971 4 18 0 37 23
1971 4 19 0 36 25
1971 4 20 0 36 24
1971 4 21 0 37 20
1971 4 22 0 38 23
1971 4 23 0 38 23
1971 4 24 0 32 22
1971 4 25 0 34 21
1971 4 26 0 36 22
1971 4 27 0 37 23
1971 4 28 0 40 22
1971 4 29 0 35 23
1971 4 30 0 37 21
1971 5 1 0 34 19
1971 5 2 0 36 19
1971 5 3 0 38 20
1971 5 4 0 36 21
1971 5 5 0 35 20
1971 5 6 0 34 19
1971 5 7 0 35 20
1971 5 8 0 38 19
1971 5 9 0 37 20
1971 5 10 0 34 19
1971 5 11 6.8 38 20
1971 5 12 1.6 36 19
1971 5 13 0 30 19
1971 5 14 0 33 20
1971 5 15 0 34 19
1971 5 16 0 36 20
1971 5 17 0 34 19
1971 5 18 0 33 20
1971 5 19 0 36 19
1971 5 20 0 34 20
1971 5 21 0 36 22
1971 5 22 0 38 22
1971 5 23 0 37 21
1971 5 24 0 38 23
1971 5 25 0 36 25
1971 5 26 0 34 22
1971 5 27 0 37 23
1971 5 28 0 38 21
1971 5 29 0 36 24
1971 5 30 0 34 22
1971 5 31 0 36 21
1971 6 1 0 35 22
1971 6 2 0 32 20
1971 6 3 0 33 21
1971 6 4 0 36 20
1971 6 5 0 34 22
1971 6 6 0 34 20
1971 6 7 0 35 21
1971 6 8 0 34 22
1971 6 9 0 33 20
1971 6 10 0 32 21
1971 6 11 0 30 22
1971 6 12 0 33 20
1971 6 13 3.6 32 21
1971 6 14 0 34 22
1971 6 15 1.6 30 21
1971 6 16 0 32 22
1971 6 17 0 35 22
1971 6 18 0 35 20
1971 6 19 2.4 33 21
1971 6 20 0 36 22
1971 6 21 0 35 22
1971 6 22 0 37 21
1971 6 23 0 39 22
1971 6 24 0 36 22
1971 6 25 0 33 21
1971 6 26 0 35 20
1971 6 27 0 32 22
1971 6 28 4.6 35 21
1971 6 29 2.3 32 20
1971 6 30 2.5 32 20
1971 7 1 0 31 20
1971 7 2 4 31 22
1971 7 3 3 32 20
1971 7 4 0 28 21
1971 7 5 0 30 20
1971 7 6 0 30 20
1971 7 7 0 31 22
1971 7 8 0 29 22
1971 7 9 0 29 20
1971 7 10 0 29 20
1971 7 11 0 28 22
1971 7 12 7 25 22
1971 7 13 8 23 20
1971 7 14 18 23 18
1971 7 15 15 23 18
1971 7 16 5 21 18
1971 7 17 3 21 17
1971 7 18 0 23 17
1971 7 19 0 27 18
1971 7 20 0 29 20
1971 7 21 0 30 22
1971 7 22 0 31 22
1971 7 23 0 29 20
1971 7 24 0 28 20
1971 7 25 0 29 22
1971 7 26 0 30 21
1971 7 27 0 27 21
1971 7 28 0 26 20
1971 7 29 7 23 15
1971 7 30 0 22 15.2
1971 8 1 0 31 19
1971 8 2 0 31 19
1971 8 3 0 28 20.5
1971 8 4 0 29 21.5
1971 8 5 0 30 22
1971 8 6 0 32 21
1971 8 7 0 31 22
1971 8 8 0 31.5 21.5
1971 8 9 0 32 22
1971 8 10 0 32 21
1971 8 11 0 32.5 20
1971 8 12 0 32 20
1971 8 13 0 33 21
1971 8 14 0 32 21
1971 8 15 0 31 22
