"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 50.3825 33.9533608283254 24.0951612903226 1.442968471064 11.9274193548387 1.06883725826747
2 43.81 23.3436402144468 25.2330880541872 1.53909484693807 12.3994304187192 0.78316527446501
3 46.1820512820513 33.3814388371653 28.0679073614558 1.69541556843108 14.0808105872622 0.830191149175224
4 70.1205128205128 44.6232897622282 30.2017094017094 1.57990762773041 16.1581196581197 0.732234741253989
5 145.376923076923 76.3467279881327 31.0481389578164 1.56360017025553 17.9106699751861 0.698337456661933
6 396.566666666667 169.526720969902 30.1363247863248 1.12826441129567 18.5559829059829 0.58075227453576
7 424.65641025641 154.955653749322 29.3333333333333 0.878764178786086 17.5570719602978 0.515410234750984
8 458.835897435897 142.495649956096 29.6437551695616 0.990375060098299 17.6205128205128 0.556082275587894
9 451.717948717949 155.587769901911 29.2832478632479 0.968712441167266 18.0786324786325 0.500306174063707
10 205.75 108.259899366343 28.0904074702886 0.954527178508795 16.78259762309 0.80370816336822
11 89.9368421052632 37.538214194249 26.2749122807017 1.35755957884557 14.5995614035088 1.15355884142605
12 62.65 35.7946753551947 24.6016977928693 1.26467419275306 12.8921901528014 0.968831885936472
