"anio" "mes" "ppAcc" "mTmax" "mTmin"
1970 1 12.9 26.1451612903226 17.2903225806452
1970 2 11.1 27.0714285714286 16.1428571428571
1970 3 11.2 30.6129032258065 19.741935483871
1970 4 0 35.75 23.3333333333333
1970 5 8.8 34.9516129032258 21.9838709677419
1970 6 197.4 33.8333333333333 23.7833333333333
1970 7 75.1 32.0161290322581 23.3387096774194
1970 8 326.8 32.9193548387097 23.241935483871
1970 9 205.4 31.4666666666667 23.6666666666667
1970 10 85.1 31.0967741935484 22.5483870967742
1970 11 8 27.6166666666667 16.6666666666667
1970 12 29.8 29.0322580645161 18.8225806451613
1971 1 9 29.5681818181818 17.6136363636364
1971 2 39.2 30.4107142857143 17.6607142857143
1971 3 15 32.2096774193548 19.7741935483871
1971 4 0 33.0833333333333 20.85
1971 5 50.8 35.9032258064516 24.3225806451613
1971 6 88.9 35.2666666666667 23.85
1971 7 340.1 32.0322580645161 22.9838709677419
1971 8 270.6 32.2903225806452 22.9516129032258
1971 9 62.7 32.6166666666667 23.6166666666667
1971 10 153.5 31.5161290322581 22.4354838709677
1971 11 254.1 28.6166666666667 20.6
1971 12 109.3 29.5 20.258064516129
1972 1 39.4 28.5161290322581 19.1774193548387
1972 2 0.8 29 17.3103448275862
1972 3 47.5 33.2258064516129 20.6935483870968
1972 4 11.5 35.5 23.0166666666667
1972 5 3 35.8225806451613 23.9032258064516
1972 6 155 33.2166666666667 23.8
1972 7 376.5 31.4193548387097 23.0806451612903
1972 8 237.5 30.758064516129 23.1290322580645
1972 9 250.3 32.4833333333333 23.2333333333333
1972 10 145.5 31.2096774193548 22.6612903225806
1972 11 53.7 29.9166666666667 21.8666666666667
1972 12 74.7 27.258064516129 18.5483870967742
1973 1 7.1 26.9032258064516 17.9677419354839
1973 2 11 27.1607142857143 17.3214285714286
1973 3 0 33.8548387096774 21.5806451612903
1973 4 0 34.0833333333333 22.8166666666667
1973 5 48 34.8870967741936 23.8225806451613
1973 6 139.8 34.65 23.9
1973 7 256.3 33.0806451612903 23.4677419354839
