"anio" "ppAcc" "mTmax" "mTmin"
1970 1059.1 31.8139726027397 19.7068493150685
1971 1043 30.7486263736264 19.6200549450549
1972 1376.3 30.8469945355191 20.9153005464481
1973 1345.4 30.9958904109589 20.4630136986301
1974 1583.5 31.2438356164384 20.3731506849315
1975 1295.2 31.5632653061224 19.9812244897959
1976 1500.4 30.0779104477612 20.2686567164179
1977 1252.9 30.8975342465753 20.7383561643836
1978 460.1 31.0406685236769 19.6857938718663
1979 1686 28.4986149584488 20.1872576177285
1980 1291.3 30.7363387978142 20.4959016393443
1981 1512.4 29.2945205479452 20.9068493150685
1982 1379 30.0068493150685 21.1493150684932
1983 1132.2 30.013698630137 20.6575342465753
1984 1756.8 28.9207650273224 20.3401639344262
1985 1222.3 29.6986301369863 20.5082191780822
1986 1541.9 29.4643835616438 20.4780821917808
1987 1056.9 29.0731343283582 20.2044776119403
1988 1380.9 29.1270491803279 20.7117486338798
1989 1052.1 29.7900552486188 20.2262430939227
1990 1331 29.7219178082192 20.841095890411
1991 1458.9 30.7958904109589 21.0904109589041
1992 1391.5 29.5833333333333 20.75
1993 1466.6 30.2328767123288 20.8397260273973
1994 1015.1 30.9630136986301 20.7260273972603
1995 1216.2 32.3876712328767 21.8561643835616
1996 1167 31.7896174863388 21.6273224043716
1997 1248.8 32.4041095890411 22.5630136986301
1998 1155.3 34.0780821917808 21.6931506849315
1999 1633.6 33.6452054794521 21.0246575342466
2000 1245.6 32.6133879781421 22.0765027322404
2001 1655.8 32.3945205479452 20.6547945205479
2002 918.2 32.9260273972603 20.472602739726
2003 1578.6 33.4980821917808 20.8575342465753
2004 1320.3 32.5054644808743 20.8142076502732
2005 1611 32.1904109589041 20.9904109589041
2006 1325.2 31.081043956044 21.2431318681319
2007 1020.6 31.9313186813187 21.1373626373626
2008 1519.7 30.7980769230769 21.1840659340659
