"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 20.6564102564103 33.4877730622591 27.1693961952027 3.29794332628061 8.30496277915633 2.70415222587835
2 12.5641025641026 17.0604881644769 28.8487432108122 3.40101736176215 9.20621763294177 2.5034375700414
3 4.0725 8.60500711422701 30.5097580645161 2.76365286324758 9.91532258064516 2.42692433171947
4 1.3325 3.77144381656926 33.2304166666667 2.55463348517742 11.8523333333333 2.77169887323184
5 0.186842105263158 0.592370890315134 36.2786078098472 2.91165995656974 15.2399122807018 2.49948963561899
6 5.31315789473684 11.9189871475325 39.0415214761041 2.33314818609853 21.3647761645493 2.48177266512029
7 81.3189189189189 50.7779689642283 38.9437663469922 2.08020966525968 25.1009590235397 1.79622696261591
8 119.966666666667 82.1909917375804 38.1348221670802 2.0811435393018 24.9359801488834 1.6642666299469
9 76.1157894736842 57.9571907546484 37.9634210526316 2.20872981133609 23.7745614035088 1.56444992127833
10 31.89 45.7434585487368 35.9381663837012 2.17984728566025 18.8401740237691 2.82364348195884
11 10.0820512820513 13.219042719439 31.8716254052461 2.33430881451312 12.6816452991453 2.66286497434764
12 20.0368421052632 26.9171543921156 27.2511601584607 2.47853537386674 8.97284946236559 2.71398120544813
