"","cuenca","corr"
"1","YAQUI",0.250602408089368
"2","BRAVO-SAN-JUAN",-0.520677447489072
"3","SOTO-LA-MARINA",-0.27445980761662
"4","VERDE-GRANDE",-0.429590772698052
"5","SANTIAGO-GUADALAJARA",-0.530337777135863
"6","LERMA-SALAMANCA",-0.0678826323550833
"7","LERMA-TOLUCA",0.425275111965826
"8","LAJA",-0.405597323518349
"9","MOCTEZUMA",-0.313294331951537
"10","PAPALOAPAN",-0.5091014721625
