"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 26.4871794871795 34.2535835965199 23.1617866004963 2.46526519279676 10.3072787427626 1.68526939406775
2 16.67 20.6545729710247 25.7742272167488 2.25002493891845 11.6431804187192 1.3063631887184
3 13.3725 21.4287248804029 29.5528225806452 1.50922785461582 15.2092741935484 1.56983222532455
4 34.7625 42.9965632943867 32.6045833333333 1.84798722993269 18.4495833333333 2.09387754746086
5 75 74.7102917428897 34.6637096774194 1.67783919000042 21.9804838709677 1.14987240263012
6 97.0820512820513 110.252029153769 35.4775125257884 1.80275803545591 23.4409254347185 0.77194899437104
7 73.4974358974359 85.9054942400123 35.674358974359 2.18001693122488 23.0964433416046 0.800517315513223
8 88.5564102564103 86.1359751081234 36.1749379652605 1.77207597993939 23.0920595533499 0.757837933899156
9 112.282051282051 74.130421597397 33.5869289714117 1.824178031243 22.0566990863543 0.820191060154992
10 54.5475 50.0051483887871 30.7274193548387 1.583809226601 18.7084677419355 1.23688125142589
11 19.4692307692308 26.1104955086743 27.1345299145299 2.22420029484014 14.5371794871795 1.70454098337722
12 24.26 30.7189559785201 23.8891935483871 2.14432044442079 11.1815725806452 1.7919625975745
