"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 13.3105263157895 32.6201130913718 26.0302501764117 1.61646815120455 -0.364881925307984 2.17126920816511
2 5.96410256410256 9.95617996865018 27.8478079679049 1.29511586434343 0.689596619225842 2.08016180115127
3 2.73157894736842 6.70026644339744 30.5678513352501 1.18365952967952 2.74895860146907 2.15486950805551
4 5.16315789473684 11.0561324808386 32.681029081324 1.68546062955496 5.58700558868435 1.5581180629119
5 18.6378378378378 19.794097764392 33.9100842778262 1.45442120385693 9.5111886079628 1.88454659690801
6 115.308108108108 67.8574911052501 31.8427430879155 1.78008050144518 13.8139857098478 1.1306810078196
7 185.873684210526 81.7119749873298 28.6314374646293 1.32135173575785 14.2613808715337 0.950595859978925
8 170.773684210526 71.4164364615776 28.3209111488398 0.919292378454704 13.6895868704018 0.861209760010594
9 114.055263157895 61.0814772532753 28.0564065335753 0.974076710437396 12.9683756805808 1.23113928091883
10 38.4128205128205 31.1043251306849 28.4227782372944 1.10921801971127 8.41124606109775 2.06854381877211
11 8.50769230769231 12.5180371888219 27.6422201611304 1.33509975574058 2.38338430374681 2.09274427789138
12 7.40769230769231 11.7466990797949 26.0399122531539 1.32858288254144 0.506963813044627 2.55659999967325
