"anio" "ppAcc" "mTmax" "mTmin"
1970 34.2499059813362 -7.15099132125363 -11.3410820264868
1971 60.6975747557701 -11.9875337842007 -9.35137364913793
1972 13.539562179134 -6.64917831944063 -3.25452737743213
1973 66.6972773944148 -20.2835883220446 -9.74490573117013
1974 -5.43908902474222 -1.73069177804866 -10.8794321514291
1975 -4.03974147053937 -17.7551545159456 -7.43651965395783
1976 30.6640778736914 -27.0321516996517 -0.260585890742036
1977 15.27125477746 -19.2251434501996 -3.88754418938733
1978 8.46692729514863 -16.3022883672877 -1.79905331548303
1979 -42.4868155222627 -9.32824168032163 -4.73610451241832
1980 -1.34599742869888 -10.8489491368586 1.90486592534347
1981 -5.80641775772047 -12.2446582584956 2.10939466421337
1982 7.92468011789502 1.85487333920737 1.56069483072176
1983 7.0325960520907 -15.1342019663137 -4.06459700433702
1984 21.9181556599235 -12.5352865931886 -3.73620510981212
1985 -21.1642571650968 -8.82773181014866 -5.84069638797963
1986 3.06194736704012 -10.0658873087746 -5.73976734695982
1987 4.12894987711978 -11.4010668320736 -8.38387421254543
1988 47.1064116355749 -5.83225912752063 -8.33773444813923
1989 -30.3824591784081 -7.24465825849563 -6.74535393913862
1990 76.4227428961247 -15.8888592513216 2.84203187807558
1991 135.317783083637 -12.9303971006586 -1.34362577903053
1992 164.144342700216 -19.7414648208176 2.31899190631438
1993 105.371745423696 -10.2327026382586 -8.59933575532873
1994 5.86064247544582 0.288290289299376 0.31952460649558
1995 34.144954914771 3.65149126593135 -0.199624596077523
1996 -29.1580300684806 -8.80482570236065 -9.01985106889223
1997 -27.9336009585531 -19.4958655305346 -6.58570996603002
1998 -39.1283813921759 -4.18513106725765 -3.12243312987183
1999 -53.9089899334435 0.584051413789375 23.7728780874737
2000 -29.4204077348936 4.53182817406635 16.1678211074167
2001 -34.755420285292 -4.99226673787163 -12.8053524085654
2002 -32.9712521536834 -2.15193314037663 -22.1878951460272
2003 -72.8526574484647 -1.60870509403566 -8.06562638116812
2004 -96.3267126702175 -4.81609337160165 -22.06646851007
2005 -70.088946028914 7.59677435801937 -13.3259003537708
2006 -57.8796386184941 17.0470655564444 -31.9546838826036
2007 -45.8802333412047 65.8915063045774 44.9872655518607
2008 -62.9872571913345 141.792528828373 98.8131773415127
2009 -78.0652270878703 93.1894974556513 50.0192180245647
