"anio" "mes"
1991 7
1991 8
1991 9
1991 10
1991 12
1992 8
1992 9
1992 10
1992 11
1992 12
1994 11
1994 12
1995 4
2000 12
2002 7
2002 8
2002 9
2002 10
2002 11
2002 12
2003 10
2003 11
2003 12
2004 1
2004 3
2004 7
2004 10
2004 11
2004 12
2005 3
2005 4
2005 5
2005 6
2005 7
2005 10
2005 11
2005 12
2006 10
2006 11
2006 12
2007 8
2007 9
2007 10
2007 11
2007 12
