"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 10.925641025641 26.366513031622 22.6969534050179 2.18311332315045 6.03336090432865 1.12464062173431
2 4.32051282051282 6.52171189534496 24.5576609639828 1.68727182044151 6.76462628474123 1.19662162303348
3 2.505 5.83653172390098 28.1779301075269 1.87748166468836 8.98314516129032 1.17621928883038
4 6.4625 8.03130693135564 30.8081434729064 1.89162458733635 11.0109082512315 1.3070281093512
5 25.8225 23.9783715310705 31.9700806451613 1.44478745163689 12.8456989247312 1.32804082140295
6 104.27 69.5221720766578 30.2052330779055 1.4828438612632 13.3332768199234 1.77030418573045
7 153.23 93.7328560734831 27.4812557603687 1.87949220186189 12.6812653609831 1.94433087990278
8 148.8225 75.5244246024984 27.0459538375973 1.70439426903255 12.3626293103448 1.95974751906627
9 105.0075 70.1103101072398 26.4651795977011 1.90978528667999 11.5336475779967 2.39955989963375
10 33.7625 31.9806406784656 25.7200403225806 1.85996661926908 9.64631720430108 1.66336758939419
11 9.40769230769231 15.5117338373141 23.8551282051282 1.9143127950476 7.67649572649573 1.18454174738464
12 5.04871794871795 8.7407958145117 22.375199889716 1.60085162770646 6.27422111938241 1.08134349399784
