"mes" "mApp" "sdApp" "mmTmax" "sdTmax" "mmTmin" "sdTmin"
1 15.53 29.9646732174012 23.266549834574 1.62328268046654 3.66322477253929 0.95927429469864
2 6.975 10.3098844779521 25.1707438195585 1.44717226778078 4.63959359605911 1.23758662404331
3 4.9125 14.0380835038668 28.2227419354839 1.48169332505022 6.71819892473118 1.0749457299968
4 9.92820512820513 18.229529957822 30.3302947244327 1.6907414689777 8.95031830238727 1.19728655665581
5 33.64 29.9378826992294 31.3225806451613 1.44011159150316 11.5056451612903 1.31910389519363
6 119.292105263158 80.95032304354 28.9733817301875 1.66723700274209 13.1626890502117 1.01988670231579
7 156.645 74.7931916207653 26.7793951612903 1.22843382652318 12.605376344086 0.859214782371604
8 156.6675 79.3659340067842 26.6602419354839 0.954455355135747 12.1903897849462 1.09601078019519
9 124.1525 77.5366215790799 26.3358333333333 1.37837154630314 11.7287873563218 1.23667855213452
10 46.785 42.9458785819953 26.1514396654719 1.02827817518577 9.18821385902031 1.36942610009444
11 12.0525 16.7901526008245 25.0258333333333 1.03566699539771 5.9145 1.26630371543129
12 8.1675 10.0880581216935 23.5050806451613 1.35450976500256 4.44161290322581 1.19859612643192
